k,computation_time,execution_time,energy,experiment_round
1,0.068,8.796,202.305,1
5,0.063,6.176,91.398,1
10,0.064,5.1,71.296,1
20,0.07,4.824,68.283,1
50,0.125,4.346,85.728,1
80,0.193,3.785,85.805,1
100,0.266,3.785,85.805,1
,0.572,3.785,85.805,1
--------------,--------------,--------------,--------------,--------------
1,0.065,7.41,114.107,2
5,0.065,5.941,127.032,2
10,0.071,4.297,50.503,2
20,0.077,4.256,50.819,2
50,0.125,4.256,50.819,2
80,0.21,3.555,57.415,2
100,0.273,3.555,57.415,2
,0.6,3.555,57.415,2
--------------,--------------,--------------,--------------,--------------
1,0.064,4.674,55.728,3
5,0.064,4.09,52.744,3
10,0.066,4.09,52.744,3
20,0.072,3.28,44.739,3
50,0.115,3.28,44.739,3
80,0.194,3.28,44.739,3
100,0.285,3.28,44.739,3
,0.606,3.28,44.739,3
--------------,--------------,--------------,--------------,--------------
1,0.066,5.645,44.166,4
5,0.067,5.273,32.349,4
10,0.068,5.273,32.349,4
20,0.085,5.261,17.208,4
50,0.117,3.13,42.477,4
80,0.196,3.13,42.477,4
100,0.27,3.13,42.477,4
,0.629,3.13,42.477,4
--------------,--------------,--------------,--------------,--------------
1,0.056,3.222,5.371,5
5,0.056,3.222,5.371,5
10,0.058,3.222,5.371,5
20,0.064,3.222,5.371,5
50,0.107,3.222,5.371,5
80,0.188,3.222,5.371,5
100,0.259,3.222,5.371,5
,0.479,3.222,5.371,5
--------------,--------------,--------------,--------------,--------------
1,0.059,6.75,100.696,6
5,0.055,3.986,21.958,6
10,0.057,3.986,21.958,6
20,0.063,3.977,30.886,6
50,0.106,3.599,30.486,6
80,0.187,3.599,30.486,6
100,0.268,3.489,44.323,6
,0.437,3.489,44.323,6
--------------,--------------,--------------,--------------,--------------
1,0.062,6.563,65.204,7
5,0.062,5.756,71.584,7
10,0.063,5.037,73.799,7
20,0.07,5.003,86.18,7
50,0.112,4.034,58.943,7
80,0.189,3.721,59.234,7
100,0.272,3.575,48.741,7
,0.53,3.575,48.741,7
--------------,--------------,--------------,--------------,--------------
1,0.06,8.377,171.868,8
5,0.058,6.456,107.435,8
10,0.059,5.621,140.976,8
20,0.064,4.902,55.967,8
50,0.115,3.826,41.408,8
80,0.184,3.681,59.474,8
100,0.259,3.681,59.474,8
,0.449,3.326,54.241,8
--------------,--------------,--------------,--------------,--------------
1,0.072,6.051,66.29,9
5,0.071,5.18,69.283,9
10,0.072,4.421,64.846,9
20,0.08,4.421,64.846,9
50,0.126,3.375,43.785,9
80,0.202,3.375,43.785,9
100,0.284,3.375,43.785,9
,0.785,3.375,43.785,9
--------------,--------------,--------------,--------------,--------------
1,0.065,6.274,49.026,10
5,0.063,4.898,44.767,10
10,0.062,4.033,11.711,10
20,0.073,4.033,11.711,10
50,0.116,4.033,11.711,10
80,0.19,3.886,59.712,10
100,0.28,3.804,35.815,10
,0.446,3.804,35.815,10
