k,computation_time,execution_time,energy,experiment_round
1,0.145,16.644,270.168,1
5,0.147,10.978,129.068,1
10,0.42,10.096,169.372,1
20,4.095,8.211,128.459,1
30,18.894,7.723,105.345,1
50,139.715,7.363,144.928,1
--------------,--------------,--------------,--------------,--------------
1,0.155,10.478,75.468,2
5,0.153,9.841,130.939,2
10,0.407,9.002,69.293,2
20,3.932,8.657,107.49,2
30,18.2,8.121,60.363,2
50,138.866,7.65,65.897,2
--------------,--------------,--------------,--------------,--------------
1,0.158,12.648,202.404,3
5,0.156,8.654,23.449,3
10,0.4,8.463,56.787,3
20,3.82,8.077,99.528,3
30,18.168,7.481,111.86,3
50,137.428,7.481,111.86,3
--------------,--------------,--------------,--------------,--------------
1,0.151,16.614,287.374,4
5,0.14,8.584,103.83,4
10,0.395,8.584,103.83,4
20,3.89,8.095,110.639,4
30,18.527,8.068,125.232,4
50,136.9,7.582,86.392,4
--------------,--------------,--------------,--------------,--------------
1,0.154,11.782,95.91,5
5,0.153,9.373,119.547,5
10,0.411,8.372,90.136,5
20,3.884,8.331,108.298,5
30,18.545,7.662,135.135,5
50,137.858,7.205,79.882,5
--------------,--------------,--------------,--------------,--------------
1,0.144,12.99,139.971,6
5,0.136,7.371,37.663,6
10,0.387,7.371,37.663,6
20,3.823,7.371,37.663,6
30,18.411,7.371,37.663,6
50,139.146,7.371,37.663,6
--------------,--------------,--------------,--------------,--------------
1,0.136,12.033,187.096,7
5,0.134,9.382,87.125,7
10,0.39,8.02,75.552,7
20,3.917,8.02,75.552,7
30,18.376,7.742,95.656,7
50,139.308,7.117,48.85,7
--------------,--------------,--------------,--------------,--------------
1,0.154,15.208,243.28,8
5,0.149,9.598,94.633,8
10,0.404,9.56,188.987,8
20,3.985,7.624,125.885,8
30,18.55,7.429,106.16,8
50,138.31,7.429,106.16,8
--------------,--------------,--------------,--------------,--------------
1,0.155,13.495,215.036,9
5,0.155,10.193,124.746,9
10,0.409,9.736,91.436,9
20,3.88,8.834,116.714,9
30,18.343,7.841,131.825,9
50,138.617,7.501,123.456,9
--------------,--------------,--------------,--------------,--------------
1,0.155,15.007,234.272,10
5,0.154,10.816,166.697,10
10,0.415,9.475,164.646,10
20,3.991,8.565,66.841,10
30,18.954,7.804,95.718,10
50,141.826,7.626,64.806,10
