k,computation_time,execution_time,energy,experiment_round
1,0.095,10.058,90.113,1
5,0.099,7.483,122.376,1
10,0.12,7.08,82.122,1
20,0.298,6.111,51.563,1
50,2.842,5.696,49.704,1
80,11.226,5.118,119.494,1
100,21.487,5.118,119.494,1
,62.928,5.118,119.494,1
--------------,--------------,--------------,--------------,--------------
1,0.101,12.35,240.007,2
5,0.088,8.633,104.983,2
10,0.109,6.666,90.898,2
20,0.27,6.071,66.242,2
50,2.71,5.638,84.849,2
80,10.754,5.632,62.742,2
100,21.405,5.208,48.361,2
,47.956,5.208,48.361,2
--------------,--------------,--------------,--------------,--------------
1,0.11,7.786,54.441,3
5,0.1,5.922,23.52,3
10,0.125,5.834,25.602,3
20,0.286,5.779,73.027,3
50,2.788,5.356,52.398,3
80,11.107,5.208,78.844,3
100,22.11,5.186,28.984,3
,95.708,5.186,28.984,3
--------------,--------------,--------------,--------------,--------------
1,0.115,7.953,91.649,4
5,0.094,6.574,108.906,4
10,0.119,5.427,95.384,4
20,0.284,5.427,95.384,4
50,2.825,5.395,78.12,4
80,11.071,5.395,78.12,4
100,22.122,5.394,49.987,4
,68.888,5.386,89.641,4
--------------,--------------,--------------,--------------,--------------
1,0.107,7.642,40.298,5
5,0.101,6.323,27.586,5
10,0.126,6.253,86.915,5
20,0.295,6.049,25.381,5
50,2.844,5.816,58.492,5
80,11.066,5.305,82.405,5
100,22.376,5.305,82.405,5
,83.816,5.305,82.405,5
--------------,--------------,--------------,--------------,--------------
1,0.101,8.721,105.134,6
5,0.09,5.906,37.593,6
10,0.114,5.906,37.593,6
20,0.29,5.554,53.655,6
50,2.918,4.979,34.799,6
80,11.522,4.905,39.438,6
100,22.226,4.905,39.438,6
,58.886,4.618,52.465,6
--------------,--------------,--------------,--------------,--------------
1,0.114,11.139,166.803,7
5,0.105,6.927,67.495,7
10,0.12,6.243,70.02,7
20,0.294,6.053,71.35,7
50,2.859,5.439,87.818,7
80,11.339,5.102,58.909,7
100,21.972,5.102,58.909,7
,69.583,5.102,58.909,7
--------------,--------------,--------------,--------------,--------------
1,0.109,10.963,264.266,8
5,0.096,7.498,86.381,8
10,0.12,6.882,79.061,8
20,0.286,5.616,51.358,8
50,2.792,5.229,56.232,8
80,11.112,5.217,81.128,8
100,21.279,5.217,81.128,8
,65.901,5.217,81.128,8
--------------,--------------,--------------,--------------,--------------
1,0.101,9.687,62.24,9
5,0.093,7.23,53.155,9
10,0.112,6.646,84.44,9
20,0.269,5.421,58.794,9
50,2.706,5.329,81.512,9
80,10.996,5.329,81.512,9
100,21.614,5.329,81.512,9
,59.729,5.326,105.039,9
--------------,--------------,--------------,--------------,--------------
1,0.103,9.39,172.628,10
5,0.093,7.305,98.837,10
10,0.116,7.152,82.125,10
20,0.28,6.427,81.126,10
50,2.799,5.601,89.527,10
80,10.884,5.506,80.014,10
100,21.538,5.466,88.458,10
,67.867,5.367,117.712,10
